ILCE;KAPINO;ENLEM;ACIKLAMA;ILCEID;MAHALLE;MAHALLEID;ADI;BOYLAM;YOL
SEFERİHİSAR;;38.189394084524;3525-017-01;12;SIĞACIK;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;26.784945252067;145
URLA;;38.321239734907;3529-032-01;18;YENİ;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;26.765143431249;UZUN
BAYRAKLI;;38.490260836861;3530-012-01;11;KÖRFEZ;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.132488849816;7384/4
BEYDAĞ;;38.085166364875;3506-004-01;993;ATATÜRK;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;28.216002394612;NAZİLLİ CAD.
FOÇA;;38.662609542686;3512-001-01;4;ATATÜRK;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;26.752700430406;8 SOKAK VE 13 SOKAK KESİŞİMİ
BERGAMA;;39.113356744109;3505-051-01;999;GAZİOSMANPAŞA;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.184530525229;PİRSULTAN ABDAL
ALİAĞA;;38.789450919219;3502-023-01;3;SİTELER;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;26.962659784174;NECMETTİN GİRİTLİOĞLU CAD. VE ZAFER CAD. ARASI
KEMALPAŞA;;38.430132364501;3517-038-01;6;SEKİZ EYLÜL;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.416142238495;KEMALPAŞA STADI CAD. VE 145 SOKAK ARASI
BAYINDIR;;38.160549158151;3504-047-01;7;PINARLI;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.743549330724;YANIK ÇİFTLİK SOKAK
SELÇUK;;37.946613924009;3526-003-01;10;ATATÜRK;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.369198553689;1038
KONAK;;38.439394688705;3520-100-01;21;UMURBEY;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.148187456328;ALSANCAK GAR ÖNÜ (İZBAN GİRİŞİ) - LİMAN CADDESİ
MENEMEN;;38.636835278845;3522-012-01;17;BELEN;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.100409657725;BELEN CUMHURİYET
MENEMEN;;38.619454194596;3522-022-01;17;EMİRALEM MERKEZ;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.152498531579;HAVA PİLOT YÜZBAŞI MURAT AYDIN
MENEMEN;;38.622346163764;3522-063-01;17;YAYLA;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.136695604617;ÇINARLI KUYU
GÜZELBAHÇE;;38.316274949238;3514-008-01;1;PAYAMLI;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;26.923365699402;GAZİ
GÜZELBAHÇE;;38.355706063432;3514-004-01;1;KAHRAMANDERE;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;26.881151262135;900
TİRE;;37.997687659304;3527-013-01;997;BAŞKÖY;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.659253062936;BAŞKÖY ATATÜRK MEYDANI - BAŞKÖY CUMHURİYET SOKAK
BORNOVA;;38.517730044127;3507-022-01;2;KARAÇAM;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.270967188219;KARAÇAM MAH. MEYDANI
KARABAĞLAR;;38.362320115727;3531-057-01;19;YURDOĞLU;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.099431584475;YURTOĞLU PARKI - 3946 SOKAK
SELÇUK;;37.95674621532;3526-010-01;10;İSA BEY;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.371113674878;2035
MENEMEN;;38.613663430165;3522-010-01;17;AYVACIK;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.185943686929;AYVACIK
KEMALPAŞA;;38.4592364522;3517-041-01;6;SÜTÇÜLER;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.44973829248;AKEVLER CAD. VE KONAK SOKAK KESİŞİMİ
KEMALPAŞA;;38.397325704509;3517-006-01;6;AŞAĞIKIZILCA;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.513563109559;2001
BALÇOVA;;38.384691679944;3503-002-01;14;ÇETİN EMEÇ;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.061053424591;DUYGU
KARŞIYAKA;;38.453877996621;3516-001-01;20;AKSOY;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.106625041141;GİRNE
KARŞIYAKA;;38.542423506232;3516-026-01;20;YAMANLAR;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.132661416751;YAMANLAR
MENEMEN;;38.620378227589;3522-017-01;17;ÇALTI;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.227778563944;ÇALTI
MENEMEN;;38.612569607923;3522-028-01;17;GÖKTEPE;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.163123741716;930
MENEMEN;;38.637052679088;3522-052-01;17;SÜLEYMANLI;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.17895478634;920
MENDERES;;38.25334367585;3521-006-01;13;BARBAROS;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.122865586317;321
MENDERES;39;38.256625016491;3521-002-01;13;AKÇAKÖY;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.101984397655;AKÇAKÖY
MENDERES;37-39;38.259477967698;3521-011-01;13;ÇATALCA;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.069785555192;7419
MENDERES;;38.184292897461;3521-045-01;13;TEKELİ ATATÜRK;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.186095337155;SAKARYA
MENDERES;;38.136658742509;3521-013-01;13;ÇİLEME;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.194858129453;KARAKUYU YOLU
KARŞIYAKA;;38.494944927705;3516-016-01;20;LATİFE HANIM;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.117282800815;BAŞ PEHLİVAN KARAALİ
MENDERES;;38.021165250105;3521-014-01;13;ÇUKURALTI;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.096440820842;MUSTAFA KEMAL PAŞA
SEFERİHİSAR;;38.077752807219;3525-014-03;12;MERSİN ALANI;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;26.960030418272;ÜRKMEZ
MENDERES;;38.031318346247;3521-023-01;13;GÖLOVA;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.242263062402;GÖLOVA
KARABAĞLAR;;38.396985112792;3531-018-01;19;BAHAR;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.118736711586;9165
KARŞIYAKA;;38.470036914803;3516-009-01;20;DEDEBAŞI;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.107581008578;6053/3
KARŞIYAKA;;38.461466691739;3516-004-01;20;BAHARİYE;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.117060587987;ZÜBEYDE HANIM
TİRE;;38.098567408855;3527-058-01;997;KOCAALİLER;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.915520059578;KARŞI
KARŞIYAKA;;38.463743579151;3516-023-01;20;TERSANE;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.128181784816;1664
MENDERES;;38.052717036738;3521-041-01;13;ORTA;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.052297991986;FİLİZ
MENDERES;;38.05849598995;3521-028-01;13;GÜMÜLDÜR İNÖNÜ;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.036980059965;6074
SEFERİHİSAR;;38.169113319463;3525-015-01;12;ORHANLI;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;26.95343063305;ORHANLI
SEFERİHİSAR;;38.242501784095;3525-008-01;12;DÜZCE;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;26.815700863872;LOJMAN
SEFERİHİSAR;;38.258217186839;3525-020-01;12;TURGUT;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;26.805444448615;PINAR
SEFERİHİSAR;;38.275906002343;3525-012-01;12;İHSANİYE;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;26.80866979375;İHSANİYE
SEFERİHİSAR;;38.179342314958;3525-018-01;12;TEPECİK;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;26.836151054157;TEPECİK
SEFERİHİSAR;;38.189527942748;3525-011-01;12;HIDIRLIK;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;26.835742650213;77
MENDERES;;38.25187707894;3521-038-01;13;MİTHATPAŞA;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.138159223619;OVA YOLU
MENDERES;2;38.245966083765;3521-018-01;13;DEREKÖY;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.113026360222;DEREKÖY
MENDERES;;38.118511782049;3521-048-01;13;DEĞİRMENDERE;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.141061431514;GAZİ OSMAN PAŞA
ALİAĞA;;38.903759712915;3502-003-01;3;BAHÇEDERE;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.112024239938;BAHÇEDERE
SEFERİHİSAR;;38.074945766276;3525-005-01;12;CUMHURİYET;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;26.908504685076;KARAKOÇ
SEFERİHİSAR;;38.086058663149;3525-001-01;12;ATATÜRK;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;26.867209875616;ESKİ KÖY YERLEŞİM YERİ
BAYINDIR;;38.222377163034;3504-040-01;7;MİTHATPAŞA;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.648843604876;MAHMUT ŞEVKET PAŞA
BAYINDIR;;38.223146733794;3504-055-01;7;YENİ;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.641666744411;ER
KARŞIYAKA;;38.460061090881;3516-007-01;20;BOSTANLI;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.101087423025;CENGİZ KOCATOROS
TORBALI;;38.080050222662;3528-002-01;9;AHMETLİ;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.374537313336;6101
BERGAMA;;39.321960359469;3505-081-01;999;KATRANCI;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.312001516507;KATRANCI
URLA;;38.332434327108;3529-033-01;18;YENİCE;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;26.791144754906;AKDENİZ
ÇEŞME;;38.285194992372;3509-019-01;1001;OVACIK;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;26.313143319172;7128
TORBALI;;38.158614347413;3528-011-01;9;CUMHURİYET;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.349699253117;3548
BAYINDIR;;38.205818678254;3504-037-01;7;KIZILCAOVA;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.512856134248;KIZILCAOVA ATATÜRK
BAYINDIR;;38.200212718607;3504-015-01;7;ÇİFTÇİGEDİĞİ;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.502919474601;ÇİFTÇİGEDİĞİ
BUCA;;38.395508826083;3508-047-01;8;YİĞİTLER;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.153127993337;ONAT
MENEMEN;;38.638018055162;3522-034-01;17;HAYKIRAN;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.110090708803;AHMET KAHRAMAN
MENEMEN;;38.700601162174;3522-033-01;17;HATUNDERE;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.043789467556;HATUNDERE
MENEMEN;;38.628269399219;3522-050-01;17;MUSTAFA KEMAL ATATÜRK;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;26.926994795514;ZEKERİYA TOKSUZ
TORBALI;;38.224034137996;3528-008-01;9;BAHÇELİEVLER;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.291141053141;9109
