ILCE,KAPINO,ENLEM,ACIKLAMA,ILCEID,MAHALLE,MAHALLEID,ADI,BOYLAM,YOL,dist_m,risk_band
SEFERİHİSAR,,38.189394084524,3525-017-01,12,SIĞACIK,,1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI,26.784945252067,145,897.9207382959689,Orta
URLA,,38.321239734907,3529-032-01,18,YENİ,,1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI,26.765143431249,UZUN,1736.8859522534992,Düşük
BAYRAKLI,,38.490260836861,3530-012-01,11,KÖRFEZ,,1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI,27.132488849816,7384/4,4543.720024450058,Düşük
BEYDAĞ,,38.085166364875,3506-004-01,993,ATATÜRK,,1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI,28.216002394612,NAZİLLİ CAD.,2337.0349582460153,Düşük
FOÇA,,38.662609542686,3512-001-01,4,ATATÜRK,,1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI,26.752700430406,8 SOKAK VE 13 SOKAK KESİŞİMİ,7837.246044655493,Güvenli
BERGAMA,,39.113356744109,3505-051-01,999,GAZİOSMANPAŞA,,1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI,27.184530525229,PİRSULTAN ABDAL,2641.700103426643,Düşük
ALİAĞA,,38.789450919219,3502-023-01,3,SİTELER,,1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI,26.962659784174,NECMETTİN GİRİTLİOĞLU CAD. VE ZAFER CAD. ARASI,5258.616260947456,Güvenli
KEMALPAŞA,,38.430132364501,3517-038-01,6,SEKİZ EYLÜL,,1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI,27.416142238495,KEMALPAŞA STADI CAD. VE 145 SOKAK ARASI,2666.460663110001,Düşük
BAYINDIR,,38.160549158151,3504-047-01,7,PINARLI,,1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI,27.743549330724,YANIK ÇİFTLİK SOKAK,689.6015789894708,Orta
SELÇUK,,37.946613924009,3526-003-01,10,ATATÜRK,,1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI,27.369198553689,1038,3357.047798008598,Düşük
